ID,Year_Period,Jurisdiction,Case_Type,Case_Count
143,2010/2011,Canada,General civil cases,2527612
144,2010/2011,Canada,Total cases,3937420
145,2010/2011,New Brunswick,Family cases,0
146,2010/2011,New Brunswick,General civil cases,0
147,2010/2011,New Brunswick,Total cases,0
148,2010/2011,Northwest Territories,Family cases,3158
149,2010/2011,Northwest Territories,General civil cases,3550
150,2010/2011,Northwest Territories,Total cases,6708
151,2010/2011,Nova Scotia,Family cases,59126
152,2010/2011,Nova Scotia,General civil cases,80344
153,2010/2011,Nova Scotia,Total cases,139470
154,2010/2011,Nunavut,Family cases,3512
155,2010/2011,Nunavut,General civil cases,1024
156,2010/2011,Nunavut,Total cases,4536
157,2010/2011,Ontario,Family cases,746548
158,2010/2011,Ontario,General civil cases,1330608
159,2010/2011,Ontario,Total cases,2077156
160,2010/2011,Yukon,Family cases,2402
161,2010/2011,Yukon,General civil cases,3576
162,2010/2011,Yukon,Total cases,5978
163,2011/2012,Alberta,Family cases,359854
164,2011/2012,Alberta,General civil cases,563944
165,2011/2012,Alberta,Total cases,923798
166,2011/2012,British Columbia,Family cases,248748
167,2011/2012,British Columbia,General civil cases,508926
168,2011/2012,British Columbia,Total cases,757674
169,2011/2012,Canada,Family cases,1435572
170,2011/2012,Canada,General civil cases,2528474
171,2011/2012,Canada,Total cases,3964046
172,2011/2012,New Brunswick,Family cases,24752
173,2011/2012,New Brunswick,General civil cases,30264
174,2011/2012,New Brunswick,Total cases,55016
175,2011/2012,Northwest Territories,Family cases,2874
176,2011/2012,Northwest Territories,General civil cases,2992
177,2011/2012,Northwest Territories,Total cases,5866
178,2011/2012,Nova Scotia,Family cases,57262
179,2011/2012,Nova Scotia,General civil cases,78500
180,2011/2012,Nova Scotia,Total cases,135762
181,2011/2012,Nunavut,Family cases,3514
182,2011/2012,Nunavut,General civil cases,1168
183,2011/2012,Nunavut,Total cases,4682
184,2011/2012,Ontario,Family cases,736282
185,2011/2012,Ontario,General civil cases,1339228
186,2011/2012,Ontario,Total cases,2075510
187,2011/2012,Yukon,Family cases,2286
188,2011/2012,Yukon,General civil cases,3452
189,2011/2012,Yukon,Total cases,5738
190,2012/2013,Alberta,Family cases,360564
191,2012/2013,Alberta,General civil cases,526694
192,2012/2013,Alberta,Total cases,887258
193,2012/2013,British Columbia,Family cases,241170
194,2012/2013,British Columbia,General civil cases,503342
195,2012/2013,British Columbia,Total cases,744512
196,2012/2013,Canada,Family cases,1403490
197,2012/2013,Canada,General civil cases,2509158
198,2012/2013,Canada,Total cases,3912648
199,2012/2013,New Brunswick,Family cases,33956
200,2012/2013,New Brunswick,General civil cases,40048
201,2012/2013,New Brunswick,Total cases,74004
202,2012/2013,Northwest Territories,Family cases,2798
203,2012/2013,Northwest Territories,General civil cases,2956
204,2012/2013,Northwest Territories,Total cases,5754
205,2012/2013,Nova Scotia,Family cases,56590
206,2012/2013,Nova Scotia,General civil cases,78222
207,2012/2013,Nova Scotia,Total cases,134812
208,2012/2013,Nunavut,Family cases,2710
209,2012/2013,Nunavut,General civil cases,1356
210,2012/2013,Nunavut,Total cases,4066
211,2012/2013,Ontario,Family cases,703344
212,2012/2013,Ontario,General civil cases,1352932
213,2012/2013,Ontario,Total cases,2056276
214,2012/2013,Yukon,Family cases,2358
215,2012/2013,Yukon,General civil cases,3608
216,2012/2013,Yukon,Total cases,5966
217,2013/2014,Alberta,Family cases,353794
218,2013/2014,Alberta,General civil cases,520966
219,2013/2014,Alberta,Total cases,874760
220,2013/2014,British Columbia,Family cases,233774
221,2013/2014,British Columbia,General civil cases,525674
222,2013/2014,British Columbia,Total cases,759448
223,2013/2014,Canada,Family cases,1378498
224,2013/2014,Canada,General civil cases,2548646
225,2013/2014,Canada,Total cases,3927144
226,2013/2014,New Brunswick,Family cases,29146
227,2013/2014,New Brunswick,General civil cases,41460
228,2013/2014,New Brunswick,Total cases,70606
229,2013/2014,Northwest Territories,Family cases,3008
230,2013/2014,Northwest Territories,General civil cases,3054
231,2013/2014,Northwest Territories,Total cases,6062
232,2013/2014,Nova Scotia,Family cases,55920
233,2013/2014,Nova Scotia,General civil cases,76644
234,2013/2014,Nova Scotia,Total cases,132564
235,2013/2014,Nunavut,Family cases,3458
236,2013/2014,Nunavut,General civil cases,1028
237,2013/2014,Nunavut,Total cases,4486
238,2013/2014,Ontario,Family cases,674248
