Year Period,Jurisdiction,Type of case,Number of cases
2010/2011,Nunavut,Total cases,4536
2010/2011,Ontario,Family cases,746548
2010/2011,Ontario,General civil cases,1330608
2010/2011,Ontario,Total cases,2077156
2010/2011,Yukon,Family cases,2402
2010/2011,Yukon,General civil cases,3576
2010/2011,Yukon,Total cases,5978
2011/2012,Alberta,Family cases,359854
2011/2012,Alberta,General civil cases,563944
2011/2012,Alberta,Total cases,923798
2011/2012,British Columbia,Family cases,248748
2011/2012,British Columbia,General civil cases,508926
2011/2012,British Columbia,Total cases,757674
2011/2012,Canada,Family cases,1435572
2011/2012,Canada,General civil cases,2528474
2011/2012,Canada,Total cases,3964046
2011/2012,New Brunswick,Family cases,24752
2011/2012,New Brunswick,General civil cases,30264
2011/2012,New Brunswick,Total cases,55016
2011/2012,Northwest Territories,Family cases,2874
2011/2012,Northwest Territories,General civil cases,2992
2011/2012,Northwest Territories,Total cases,5866
2011/2012,Nova Scotia,Family cases,57262
2011/2012,Nova Scotia,General civil cases,78500
2011/2012,Nova Scotia,Total cases,135762
2011/2012,Nunavut,Family cases,3514
2011/2012,Nunavut,General civil cases,1168
2011/2012,Nunavut,Total cases,4682
2011/2012,Ontario,Family cases,736282
2011/2012,Ontario,General civil cases,1339228
2011/2012,Ontario,Total cases,2075510
2011/2012,Yukon,Family cases,2286
2011/2012,Yukon,General civil cases,3452
2011/2012,Yukon,Total cases,5738
2012/2013,Alberta,Family cases,360564
2012/2013,Alberta,General civil cases,526694
2012/2013,Alberta,Total cases,887258
2012/2013,British Columbia,Family cases,241170
2012/2013,British Columbia,General civil cases,503342
2012/2013,British Columbia,Total cases,744512
2012/2013,Canada,Family cases,1403490
2012/2013,Canada,General civil cases,2509158
2012/2013,Canada,Total cases,3912648
2012/2013,New Brunswick,Family cases,33956
2012/2013,New Brunswick,General civil cases,40048
2012/2013,New Brunswick,Total cases,74004
2012/2013,Northwest Territories,Family cases,2798
2012/2013,Northwest Territories,General civil cases,2956
2012/2013,Northwest Territories,Total cases,5754
2012/2013,Nova Scotia,Family cases,56590
2012/2013,Nova Scotia,General civil cases,78222
2012/2013,Nova Scotia,Total cases,134812
2012/2013,Nunavut,Family cases,2710
2012/2013,Nunavut,General civil cases,1356
2012/2013,Nunavut,Total cases,4066
2012/2013,Ontario,Family cases,703344
2012/2013,Ontario,General civil cases,1352932
2012/2013,Ontario,Total cases,2056276
2012/2013,Yukon,Family cases,2358
2012/2013,Yukon,General civil cases,3608
2012/2013,Yukon,Total cases,5966
2013/2014,Alberta,Family cases,353794
2013/2014,Alberta,General civil cases,520966
2013/2014,Alberta,Total cases,874760
2013/2014,British Columbia,Family cases,233774
2013/2014,British Columbia,General civil cases,525674
2013/2014,British Columbia,Total cases,759448
